x,y,WINDCHILL,TEMP,WIND_DIRECTION_FLAG,HUMIDEX_FLAG,RELATIVE_HUMIDITY_FLAG,UTC_YEAR,LOCAL_MONTH,LOCAL_HOUR,WIND_SPEED_FLAG,HUMIDEX,DEW_POINT_TEMP,WIND_SPEED,STATION_PRESSURE,PROVINCE_CODE,PRECIP_AMOUNT_FLAG,WIND_DIRECTION,WINDCHILL_FLAG,LOCAL_YEAR,PRECIP_AMOUNT,TEMP_FLAG,VISIBILITY,UTC_MONTH,WEATHER_ENG_DESC,ID,UTC_DAY,CLIMATE_IDENTIFIER,LOCAL_DAY,DEW_POINT_TEMP_FLAG,STATION_PRESSURE_FLAG,LOCAL_DATE,STATION_NAME,UTC_DATE,VISIBILITY_FLAG,WEATHER_FRE_DESC,RELATIVE_HUMIDITY
-76.59944444444444,44.223333333333336,,23.8,,,,2024,8,23,,31,19.1,14,100.2,ON,,16,,2024,0,,,8,NA,6104142.2024.8.16.23,17,6104142,16,,,2024-08-16 23:00:00,KINGSTON CLIMATE,2024-08-17T04:00:00,,ND,75
-76.59944444444444,44.223333333333336,,23.6,,,,2024,8,0,,29,17.7,12,100.11,ON,,12,,2024,0,,,8,NA,6104142.2024.8.17.0,17,6104142,17,,,2024-08-17 00:00:00,KINGSTON CLIMATE,2024-08-17T05:00:00,,ND,70
-76.59944444444444,44.223333333333336,,23.7,,,,2024,8,1,,30,18.7,16,100.09,ON,,14,,2024,0,,,8,NA,6104142.2024.8.17.1,17,6104142,17,,,2024-08-17 01:00:00,KINGSTON CLIMATE,2024-08-17T06:00:00,,ND,73
-76.59944444444444,44.223333333333336,,20.9,,,,2024,8,2,,28,19.3,21,100.09,ON,,17,,2024,3.5,,,8,NA,6104142.2024.8.17.2,17,6104142,17,,,2024-08-17 02:00:00,KINGSTON CLIMATE,2024-08-17T07:00:00,,ND,90
-76.59944444444444,44.223333333333336,,20.3,,,,2024,8,3,,27,19.3,19,100.03,ON,,12,,2024,5.8,,,8,NA,6104142.2024.8.17.3,17,6104142,17,,,2024-08-17 03:00:00,KINGSTON CLIMATE,2024-08-17T08:00:00,,ND,94
-76.59944444444444,44.223333333333336,,21.0,,,,2024,8,4,,28,19.3,26,100.0,ON,,14,,2024,0.3,,,8,NA,6104142.2024.8.17.4,17,6104142,17,,,2024-08-17 04:00:00,KINGSTON CLIMATE,2024-08-17T09:00:00,,ND,90
-76.59944444444444,44.223333333333336,,21.1,,,,2024,8,5,,28,19.3,32,99.97,ON,,16,,2024,0.2,,,8,NA,6104142.2024.8.17.5,17,6104142,17,,,2024-08-17 05:00:00,KINGSTON CLIMATE,2024-08-17T10:00:00,,ND,89
-76.59944444444444,44.223333333333336,,21.5,,,,2024,8,6,,28,19.2,31,100.01,ON,,16,,2024,0,,,8,NA,6104142.2024.8.17.6,17,6104142,17,,,2024-08-17 06:00:00,KINGSTON CLIMATE,2024-08-17T11:00:00,,ND,87
-76.59944444444444,44.223333333333336,,21.3,,,,2024,8,7,,28,19.1,29,100.01,ON,,17,,2024,0,,,8,NA,6104142.2024.8.17.7,17,6104142,17,,,2024-08-17 07:00:00,KINGSTON CLIMATE,2024-08-17T12:00:00,,ND,87
-76.59944444444444,44.223333333333336,,21.4,,,,2024,8,8,,28,19.0,30,100.01,ON,,17,,2024,0,,,8,NA,6104142.2024.8.17.8,17,6104142,17,,,2024-08-17 08:00:00,KINGSTON CLIMATE,2024-08-17T13:00:00,,ND,87
