x,y,STATION_PRESSURE,STATION_PRESSURE_FLAG,RELATIVE_HUMIDITY,HUMIDEX,RELATIVE_HUMIDITY_FLAG,ID,PRECIP_AMOUNT,WIND_DIRECTION_FLAG,UTC_YEAR,WIND_DIRECTION,LOCAL_DAY,WIND_SPEED_FLAG,TEMP_FLAG,CLIMATE_IDENTIFIER,PROVINCE_CODE,WINDCHILL_FLAG,VISIBILITY,UTC_DAY,UTC_MONTH,LOCAL_YEAR,TEMP,WEATHER_ENG_DESC,WIND_SPEED,PRECIP_AMOUNT_FLAG,DEW_POINT_TEMP_FLAG,WEATHER_FRE_DESC,HUMIDEX_FLAG,DEW_POINT_TEMP,STATION_NAME,LOCAL_HOUR,VISIBILITY_FLAG,LOCAL_MONTH,UTC_DATE,WINDCHILL,LOCAL_DATE
-76.59944444444444,44.223333333333336,101.59,,36,,,6104142.2021.3.14.20,0,,2021,33,14,,,6104142,ON,,,15,3,2021,-5.7,NA,29,,,ND,,-18.3,KINGSTON CLIMATE,20,,3,2021-03-15T01:00:00,-14,2021-03-14 20:00:00
-76.59944444444444,44.223333333333336,101.69,,38,,,6104142.2021.3.14.21,0,,2021,34,14,,,6104142,ON,,,15,3,2021,-6.7,NA,30,,,ND,,-18.5,KINGSTON CLIMATE,21,,3,2021-03-15T02:00:00,-15,2021-03-14 21:00:00
-76.59944444444444,44.223333333333336,101.79,,42,,,6104142.2021.3.14.22,0,,2021,33,14,,,6104142,ON,,,15,3,2021,-7.4,NA,26,,,ND,,-18.2,KINGSTON CLIMATE,22,,3,2021-03-15T03:00:00,-16,2021-03-14 22:00:00
-76.59944444444444,44.223333333333336,101.84,,44,,,6104142.2021.3.14.23,0,,2021,33,14,,,6104142,ON,,,15,3,2021,-8.4,NA,19,,,ND,,-18.4,KINGSTON CLIMATE,23,,3,2021-03-15T04:00:00,-16,2021-03-14 23:00:00
-76.59944444444444,44.223333333333336,101.88,,43,,,6104142.2021.3.15.0,0.1,,2021,32,15,,,6104142,ON,,,15,3,2021,-8.6,NA,28,,,ND,,-18.9,KINGSTON CLIMATE,0,,3,2021-03-15T05:00:00,-17,2021-03-15 00:00:00
-76.59944444444444,44.223333333333336,101.93,,38,,,6104142.2021.3.15.1,0,,2021,34,15,,,6104142,ON,,,15,3,2021,-9.2,NA,34,,,ND,,-20.9,KINGSTON CLIMATE,1,,3,2021-03-15T06:00:00,-19,2021-03-15 01:00:00
-76.59944444444444,44.223333333333336,101.97,,42,,,6104142.2021.3.15.2,0,,2021,33,15,,,6104142,ON,,,15,3,2021,-9.9,NA,27,,,ND,,-20.5,KINGSTON CLIMATE,2,,3,2021-03-15T07:00:00,-19,2021-03-15 02:00:00
-76.59944444444444,44.223333333333336,101.96,,45,,,6104142.2021.3.15.3,0,,2021,33,15,,,6104142,ON,,,15,3,2021,-10.5,NA,24,,,ND,,-20.1,KINGSTON CLIMATE,3,,3,2021-03-15T08:00:00,-19,2021-03-15 03:00:00
-76.59944444444444,44.223333333333336,102.03,,47,,,6104142.2021.3.15.4,0,,2021,33,15,,,6104142,ON,,,15,3,2021,-10.8,NA,21,,,ND,,-20.0,KINGSTON CLIMATE,4,,3,2021-03-15T09:00:00,-19,2021-03-15 04:00:00
-76.59944444444444,44.223333333333336,102.06,,52,,,6104142.2021.3.15.5,0,,2021,34,15,,,6104142,ON,,,15,3,2021,-11.7,NA,17,,,ND,,-19.6,KINGSTON CLIMATE,5,,3,2021-03-15T10:00:00,-19,2021-03-15 05:00:00
-76.59944444444444,44.223333333333336,102.13,,54,,,6104142.2021.3.15.6,0,,2021,32,15,,,6104142,ON,,,15,3,2021,-11.8,NA,13,,,ND,,-19.2,KINGSTON CLIMATE,6,,3,2021-03-15T11:00:00,-18,2021-03-15 06:00:00
-76.59944444444444,44.223333333333336,102.2,,51,,,6104142.2021.3.15.7,0,,2021,33,15,,,6104142,ON,,,15,3,2021,-11.4,NA,14,,,ND,,-19.5,KINGSTON CLIMATE,7,,3,2021-03-15T12:00:00,-18,2021-03-15 07:00:00
-76.59944444444444,44.223333333333336,102.24,,42,,,6104142.2021.3.15.8,0,,2021,36,15,,,6104142,ON,,,15,3,2021,-10.7,NA,23,,,ND,,-21.2,KINGSTON CLIMATE,8,,3,2021-03-15T13:00:00,-19,2021-03-15 08:00:00
-76.59944444444444,44.223333333333336,102.34,,41,,,6104142.2021.3.15.9,0,,2021,32,15,,,6104142,ON,,,15,3,2021,-9.5,NA,19,,,ND,,-20.3,KINGSTON CLIMATE,9,,3,2021-03-15T14:00:00,-17,2021-03-15 09:00:00
-76.59944444444444,44.223333333333336,102.31,,36,,,6104142.2021.3.15.10,0,,2021,35,15,,,6104142,ON,,,15,3,2021,-8.4,NA,21,,,ND,,-20.9,KINGSTON CLIMATE,10,,3,2021-03-15T15:00:00,-16,2021-03-15 10:00:00
-76.59944444444444,44.223333333333336,102.26,,32,,,6104142.2021.3.15.11,0,,2021,35,15,,,6104142,ON,,,15,3,2021,-7.7,NA,17,,,ND,,-21.6,KINGSTON CLIMATE,11,,3,2021-03-15T16:00:00,-14,2021-03-15 11:00:00
-76.59944444444444,44.223333333333336,102.18,,30,,,6104142.2021.3.15.12,0,,2021,34,15,,,6104142,ON,,,15,3,2021,-6.2,NA,14,,,ND,,-21.0,KINGSTON CLIMATE,12,,3,2021-03-15T17:00:00,-12,2021-03-15 12:00:00
-76.59944444444444,44.223333333333336,102.09,,27,,,6104142.2021.3.15.13,0,,2021,33,15,,,6104142,ON,,,15,3,2021,-4.9,NA,19,,,ND,,-21.2,KINGSTON CLIMATE,13,,3,2021-03-15T18:00:00,-11,2021-03-15 13:00:00
-76.59944444444444,44.223333333333336,102.01,,22,,,6104142.2021.3.15.14,0,,2021,35,15,,,6104142,ON,,,15,3,2021,-3.6,NA,18,,,ND,,-22.3,KINGSTON CLIMATE,14,,3,2021-03-15T19:00:00,-9,2021-03-15 14:00:00
-76.59944444444444,44.223333333333336,101.91,,22,,,6104142.2021.3.15.15,0,,2021,33,15,,,6104142,ON,,,15,3,2021,-3.2,NA,6,,,ND,,-22.0,KINGSTON CLIMATE,15,,3,2021-03-15T20:00:00,-6,2021-03-15 15:00:00
-76.59944444444444,44.223333333333336,101.87,,20,,,6104142.2021.3.15.16,0,,2021,32,15,,,6104142,ON,,,15,3,2021,-3.1,NA,8,,,ND,,-23.0,KINGSTON CLIMATE,16,,3,2021-03-15T21:00:00,-6,2021-03-15 16:00:00
-76.59944444444444,44.223333333333336,101.85,,42,,,6104142.2021.3.15.17,0,,2021,19,15,,,6104142,ON,,,15,3,2021,-4.2,NA,15,,,ND,,-15.2,KINGSTON CLIMATE,17,,3,2021-03-15T22:00:00,-10,2021-03-15 17:00:00
-76.59944444444444,44.223333333333336,101.84,,46,,,6104142.2021.3.15.18,0,,2021,21,15,,,6104142,ON,,,15,3,2021,-5.0,NA,14,,,ND,,-14.7,KINGSTON CLIMATE,18,,3,2021-03-15T23:00:00,-10,2021-03-15 18:00:00
-76.59944444444444,44.223333333333336,101.84,,56,,,6104142.2021.3.15.19,0,,2021,22,15,,,6104142,ON,,,16,3,2021,-5.8,NA,13,,,ND,,-13.1,KINGSTON CLIMATE,19,,3,2021-03-16T00:00:00,-11,2021-03-15 19:00:00
-76.59944444444444,44.223333333333336,101.82,,58,,,6104142.2021.3.15.20,0,,2021,22,15,,,6104142,ON,,,16,3,2021,-5.8,NA,13,,,ND,,-12.7,KINGSTON CLIMATE,20,,3,2021-03-16T01:00:00,-11,2021-03-15 20:00:00
-76.59944444444444,44.223333333333336,101.65,,59,,,6104142.2021.3.15.21,0,,2021,21,15,,,6104142,ON,,,16,3,2021,-6.9,NA,2,,,ND,,-13.7,KINGSTON CLIMATE,21,,3,2021-03-16T02:00:00,-8,2021-03-15 21:00:00
-76.59944444444444,44.223333333333336,101.63,,61,,,6104142.2021.3.15.22,0,,2021,22,15,,,6104142,ON,,,16,3,2021,-6.0,NA,9,,,ND,,-12.3,KINGSTON CLIMATE,22,,3,2021-03-16T03:00:00,-10,2021-03-15 22:00:00
-76.59944444444444,44.223333333333336,101.65,,62,,,6104142.2021.3.15.23,0,,2021,22,15,,,6104142,ON,,,16,3,2021,-5.7,NA,9,,,ND,,-11.8,KINGSTON CLIMATE,23,,3,2021-03-16T04:00:00,-10,2021-03-15 23:00:00
-76.59944444444444,44.223333333333336,101.58,,62,,,6104142.2021.3.16.0,0,,2021,24,16,,,6104142,ON,,,16,3,2021,-6.0,NA,2,,,ND,,-12.2,KINGSTON CLIMATE,0,,3,2021-03-16T05:00:00,-7,2021-03-16 00:00:00
-76.59944444444444,44.223333333333336,101.59,,77,,,6104142.2021.3.16.1,0,,2021,36,16,,,6104142,ON,,,16,3,2021,-8.1,NA,7,,,ND,,-11.4,KINGSTON CLIMATE,1,,3,2021-03-16T06:00:00,-12,2021-03-16 01:00:00
-76.59944444444444,44.223333333333336,101.55,,77,,,6104142.2021.3.16.2,0,,2021,3,16,,,6104142,ON,,,16,3,2021,-8.5,NA,4,,,ND,,-11.8,KINGSTON CLIMATE,2,,3,2021-03-16T07:00:00,-11,2021-03-16 02:00:00
-76.59944444444444,44.223333333333336,101.46,,74,,,6104142.2021.3.16.3,0,,2021,7,16,,,6104142,ON,,,16,3,2021,-8.0,NA,9,,,ND,,-11.8,KINGSTON CLIMATE,3,,3,2021-03-16T08:00:00,-13,2021-03-16 03:00:00
-76.59944444444444,44.223333333333336,101.45,,68,,,6104142.2021.3.16.4,0,,2021,13,16,,,6104142,ON,,,16,3,2021,-5.5,NA,12,,,ND,,-10.4,KINGSTON CLIMATE,4,,3,2021-03-16T09:00:00,-10,2021-03-16 04:00:00
-76.59944444444444,44.223333333333336,101.4,,54,,,6104142.2021.3.16.5,0,,2021,11,16,,,6104142,ON,,,16,3,2021,-5.5,NA,15,,,ND,,-13.4,KINGSTON CLIMATE,5,,3,2021-03-16T10:00:00,-11,2021-03-16 05:00:00
-76.59944444444444,44.223333333333336,101.37,,60,,,6104142.2021.3.16.6,0,,2021,10,16,,,6104142,ON,,,16,3,2021,-6.1,NA,12,,,ND,,-12.6,KINGSTON CLIMATE,6,,3,2021-03-16T11:00:00,-11,2021-03-16 06:00:00
-76.59944444444444,44.223333333333336,101.3,,56,,,6104142.2021.3.16.7,0,,2021,7,16,,,6104142,ON,,,16,3,2021,-5.7,NA,12,,,ND,,-13.0,KINGSTON CLIMATE,7,,3,2021-03-16T12:00:00,-11,2021-03-16 07:00:00
