x,y,LOCAL_DAY,VISIBILITY,WINDCHILL_FLAG,HUMIDEX,ID,PROVINCE_CODE,STATION_NAME,HUMIDEX_FLAG,TEMP_FLAG,PRECIP_AMOUNT_FLAG,VISIBILITY_FLAG,STATION_PRESSURE_FLAG,RELATIVE_HUMIDITY,WINDCHILL,DEW_POINT_TEMP_FLAG,LOCAL_YEAR,WEATHER_FRE_DESC,WEATHER_ENG_DESC,LOCAL_HOUR,STATION_PRESSURE,PRECIP_AMOUNT,UTC_YEAR,TEMP,RELATIVE_HUMIDITY_FLAG,LOCAL_DATE,LOCAL_MONTH,UTC_DAY,WIND_DIRECTION_FLAG,CLIMATE_IDENTIFIER,WIND_SPEED,WIND_DIRECTION,UTC_MONTH,DEW_POINT_TEMP,WIND_SPEED_FLAG,UTC_DATE
-76.59944444444444,44.223333333333336,22,,,,6104142.2020.1.22.17,ON,KINGSTON CLIMATE,,,,,,,-6,M,2020,ND,NA,17,101.53,0,2020,-0.7,M,2020-01-22 17:00:00,1,22,,6104142,19,20,1,,,2020-01-22T22:00:00
-76.59944444444444,44.223333333333336,22,,,,6104142.2020.1.22.18,ON,KINGSTON CLIMATE,,,,,,,-6,M,2020,ND,NA,18,101.52,0,2020,-0.4,M,2020-01-22 18:00:00,1,22,,6104142,20,21,1,,,2020-01-22T23:00:00
-76.59944444444444,44.223333333333336,22,,,,6104142.2020.1.22.19,ON,KINGSTON CLIMATE,,,,,,,,M,2020,ND,NA,19,101.48,0,2020,0.2,M,2020-01-22 19:00:00,1,23,,6104142,19,20,1,,,2020-01-23T00:00:00
-76.59944444444444,44.223333333333336,22,,,,6104142.2020.1.22.20,ON,KINGSTON CLIMATE,,,,,,,,M,2020,ND,NA,20,101.5,0,2020,0.7,M,2020-01-22 20:00:00,1,23,,6104142,20,20,1,,,2020-01-23T01:00:00
-76.59944444444444,44.223333333333336,22,,,,6104142.2020.1.22.21,ON,KINGSTON CLIMATE,,,,,,,,M,2020,ND,NA,21,101.48,0,2020,0.5,M,2020-01-22 21:00:00,1,23,,6104142,19,21,1,,,2020-01-23T02:00:00
-76.59944444444444,44.223333333333336,22,,,,6104142.2020.1.22.22,ON,KINGSTON CLIMATE,,,,,,,,M,2020,ND,NA,22,101.44,0,2020,0.6,M,2020-01-22 22:00:00,1,23,,6104142,18,21,1,,,2020-01-23T03:00:00
-76.59944444444444,44.223333333333336,22,,,,6104142.2020.1.22.23,ON,KINGSTON CLIMATE,,,,,,,,M,2020,ND,NA,23,101.45,0,2020,0.6,M,2020-01-22 23:00:00,1,23,,6104142,17,21,1,,,2020-01-23T04:00:00
-76.59944444444444,44.223333333333336,23,,,,6104142.2020.1.23.0,ON,KINGSTON CLIMATE,,,,,,,-5,M,2020,ND,NA,0,101.44,0,2020,-0.1,M,2020-01-23 00:00:00,1,23,,6104142,15,23,1,,,2020-01-23T05:00:00
-76.59944444444444,44.223333333333336,23,,,,6104142.2020.1.23.1,ON,KINGSTON CLIMATE,,,,,,,-5,M,2020,ND,NA,1,101.43,0,2020,-0.1,M,2020-01-23 01:00:00,1,23,,6104142,17,21,1,,,2020-01-23T06:00:00
-76.59944444444444,44.223333333333336,23,,,,6104142.2020.1.23.2,ON,KINGSTON CLIMATE,,,,,,,,M,2020,ND,NA,2,101.46,0,2020,0.1,M,2020-01-23 02:00:00,1,23,,6104142,17,23,1,,,2020-01-23T07:00:00
