x,y,WIND_DIRECTION,UTC_YEAR,DEW_POINT_TEMP,WINDCHILL_FLAG,WIND_SPEED_FLAG,LOCAL_DATE,STATION_PRESSURE_FLAG,TEMP,RELATIVE_HUMIDITY,LOCAL_HOUR,PRECIP_AMOUNT,WIND_DIRECTION_FLAG,WINDCHILL,LOCAL_MONTH,PRECIP_AMOUNT_FLAG,TEMP_FLAG,DEW_POINT_TEMP_FLAG,WEATHER_ENG_DESC,ID,HUMIDEX_FLAG,WEATHER_FRE_DESC,UTC_DATE,STATION_NAME,HUMIDEX,UTC_MONTH,LOCAL_YEAR,VISIBILITY_FLAG,UTC_DAY,WIND_SPEED,PROVINCE_CODE,RELATIVE_HUMIDITY_FLAG,LOCAL_DAY,CLIMATE_IDENTIFIER,VISIBILITY,STATION_PRESSURE
-76.59944444444444,44.223333333333336,34,2017,17.9,,,2017-09-26 03:00:00,,18.1,98,3,0,,,9,,,,NA,6104142.2017.9.26.3,,ND,2017-09-26T08:00:00,KINGSTON CLIMATE,,9,2017,,26,7,ON,,26,6104142,,100.5
-76.59944444444444,44.223333333333336,1,2017,16.9,,,2017-09-26 04:00:00,,17.2,98,4,0,,,9,,,,NA,6104142.2017.9.26.4,,ND,2017-09-26T09:00:00,KINGSTON CLIMATE,,9,2017,,26,6,ON,,26,6104142,,100.48
-76.59944444444444,44.223333333333336,33,2017,16.2,,,2017-09-26 05:00:00,,16.6,98,5,0,,,9,,,,NA,6104142.2017.9.26.5,,ND,2017-09-26T10:00:00,KINGSTON CLIMATE,,9,2017,,26,10,ON,,26,6104142,,100.49
-76.59944444444444,44.223333333333336,1,2017,16.7,,,2017-09-26 06:00:00,,17.0,98,6,0,,,9,,,,NA,6104142.2017.9.26.6,,ND,2017-09-26T11:00:00,KINGSTON CLIMATE,,9,2017,,26,5,ON,,26,6104142,,100.47
-76.59944444444444,44.223333333333336,6,2017,18.3,,,2017-09-26 07:00:00,,18.7,98,7,0,,,9,,,,NA,6104142.2017.9.26.7,,ND,2017-09-26T12:00:00,KINGSTON CLIMATE,,9,2017,,26,3,ON,,26,6104142,,100.52
-76.59944444444444,44.223333333333336,5,2017,19.9,,,2017-09-26 08:00:00,,20.8,95,8,0,,,9,,,,NA,6104142.2017.9.26.8,,ND,2017-09-26T13:00:00,KINGSTON CLIMATE,28,9,2017,,26,4,ON,,26,6104142,,100.53
-76.59944444444444,44.223333333333336,13,2017,21.1,,,2017-09-26 09:00:00,,23.3,88,9,0,,,9,,,,NA,6104142.2017.9.26.9,,ND,2017-09-26T14:00:00,KINGSTON CLIMATE,32,9,2017,,26,6,ON,,26,6104142,,100.52
-76.59944444444444,44.223333333333336,15,2017,20.7,,,2017-09-26 10:00:00,,23.4,85,10,0,,,9,,,,NA,6104142.2017.9.26.10,,ND,2017-09-26T15:00:00,KINGSTON CLIMATE,32,9,2017,,26,13,ON,,26,6104142,,100.52
-76.59944444444444,44.223333333333336,14,2017,20.0,,,2017-09-26 11:00:00,,23.1,83,11,0,,,9,,,,NA,6104142.2017.9.26.11,,ND,2017-09-26T16:00:00,KINGSTON CLIMATE,31,9,2017,,26,6,ON,,26,6104142,,100.5
-76.59944444444444,44.223333333333336,15,2017,19.8,,,2017-09-26 12:00:00,,23.9,78,12,0,,,9,,,,NA,6104142.2017.9.26.12,,ND,2017-09-26T17:00:00,KINGSTON CLIMATE,31,9,2017,,26,9,ON,,26,6104142,,100.46
-76.59944444444444,44.223333333333336,18,2017,19.6,,,2017-09-26 13:00:00,,24.8,73,13,0,,,9,,,,NA,6104142.2017.9.26.13,,ND,2017-09-26T18:00:00,KINGSTON CLIMATE,32,9,2017,,26,9,ON,,26,6104142,,100.39
-76.59944444444444,44.223333333333336,18,2017,19.8,,,2017-09-26 14:00:00,,24.3,76,14,0,,,9,,,,NA,6104142.2017.9.26.14,,ND,2017-09-26T19:00:00,KINGSTON CLIMATE,32,9,2017,,26,9,ON,,26,6104142,,100.35
-76.59944444444444,44.223333333333336,16,2017,20.8,,,2017-09-26 15:00:00,,24.9,78,15,0,,,9,,,,NA,6104142.2017.9.26.15,,ND,2017-09-26T20:00:00,KINGSTON CLIMATE,33,9,2017,,26,6,ON,,26,6104142,,100.31
-76.59944444444444,44.223333333333336,15,2017,21.0,,,2017-09-26 16:00:00,,23.5,86,16,0,,,9,,,,NA,6104142.2017.9.26.16,,ND,2017-09-26T21:00:00,KINGSTON CLIMATE,32,9,2017,,26,9,ON,,26,6104142,,100.27
-76.59944444444444,44.223333333333336,16,2017,20.9,,,2017-09-26 17:00:00,,23.6,85,17,0,,,9,,,,NA,6104142.2017.9.26.17,,ND,2017-09-26T22:00:00,KINGSTON CLIMATE,32,9,2017,,26,8,ON,,26,6104142,,100.24
-76.59944444444444,44.223333333333336,18,2017,20.4,,,2017-09-26 18:00:00,,21.9,91,18,0,,,9,,,,NA,6104142.2017.9.26.18,,ND,2017-09-26T23:00:00,KINGSTON CLIMATE,30,9,2017,,26,7,ON,,26,6104142,,100.24
-76.59944444444444,44.223333333333336,19,2017,19.5,,,2017-09-26 19:00:00,,21.1,90,19,0,,,9,,,,NA,6104142.2017.9.26.19,,ND,2017-09-27T00:00:00,KINGSTON CLIMATE,28,9,2017,,27,7,ON,,26,6104142,,100.22
-76.59944444444444,44.223333333333336,0,2017,19.2,,,2017-09-26 20:00:00,,19.8,96,20,0,,,9,,,,NA,6104142.2017.9.26.20,,ND,2017-09-27T01:00:00,KINGSTON CLIMATE,,9,2017,,27,0,ON,,26,6104142,,100.24
-76.59944444444444,44.223333333333336,18,2017,19.9,,,2017-09-26 21:00:00,,20.2,99,21,0,,,9,,,,NA,6104142.2017.9.26.21,,ND,2017-09-27T02:00:00,KINGSTON CLIMATE,28,9,2017,,27,3,ON,,26,6104142,,100.23
-76.59944444444444,44.223333333333336,17,2017,20.0,,,2017-09-26 22:00:00,,20.2,99,22,0,,,9,,,,NA,6104142.2017.9.26.22,,ND,2017-09-27T03:00:00,KINGSTON CLIMATE,28,9,2017,,27,4,ON,,26,6104142,,100.21
-76.59944444444444,44.223333333333336,18,2017,20.7,,,2017-09-26 23:00:00,,20.9,99,23,0,,,9,,,,NA,6104142.2017.9.26.23,,ND,2017-09-27T04:00:00,KINGSTON CLIMATE,29,9,2017,,27,7,ON,,26,6104142,,100.18
-76.59944444444444,44.223333333333336,17,2017,21.1,,,2017-09-27 00:00:00,,21.2,99,0,0,,,9,,,,NA,6104142.2017.9.27.0,,ND,2017-09-27T05:00:00,KINGSTON CLIMATE,30,9,2017,,27,7,ON,,27,6104142,,100.15
-76.59944444444444,44.223333333333336,16,2017,21.3,,,2017-09-27 01:00:00,,21.6,99,1,0,,,9,,,,NA,6104142.2017.9.27.1,,ND,2017-09-27T06:00:00,KINGSTON CLIMATE,30,9,2017,,27,7,ON,,27,6104142,,100.14
-76.59944444444444,44.223333333333336,33,2017,17.7,,,2017-09-27 02:00:00,,17.9,98,2,0,,,9,,,,NA,6104142.2017.9.27.2,,ND,2017-09-27T07:00:00,KINGSTON CLIMATE,,9,2017,,27,5,ON,,27,6104142,,100.13
-76.59944444444444,44.223333333333336,15,2017,18.1,,,2017-09-27 03:00:00,,18.2,99,3,0,,,9,,,,NA,6104142.2017.9.27.3,,ND,2017-09-27T08:00:00,KINGSTON CLIMATE,,9,2017,,27,3,ON,,27,6104142,,100.08
-76.59944444444444,44.223333333333336,15,2017,20.9,,,2017-09-27 04:00:00,,21.1,99,4,0,,,9,,,,NA,6104142.2017.9.27.4,,ND,2017-09-27T09:00:00,KINGSTON CLIMATE,29,9,2017,,27,8,ON,,27,6104142,,100.03
-76.59944444444444,44.223333333333336,17,2017,21.5,,,2017-09-27 05:00:00,,21.7,99,5,0,,,9,,,,NA,6104142.2017.9.27.5,,ND,2017-09-27T10:00:00,KINGSTON CLIMATE,31,9,2017,,27,11,ON,,27,6104142,,100.03
-76.59944444444444,44.223333333333336,18,2017,21.1,,,2017-09-27 06:00:00,,21.6,97,6,0,,,9,,,,NA,6104142.2017.9.27.6,,ND,2017-09-27T11:00:00,KINGSTON CLIMATE,30,9,2017,,27,14,ON,,27,6104142,,100.02
-76.59944444444444,44.223333333333336,18,2017,21.7,,,2017-09-27 07:00:00,,22.4,96,7,0,,,9,,,,NA,6104142.2017.9.27.7,,ND,2017-09-27T12:00:00,KINGSTON CLIMATE,31,9,2017,,27,14,ON,,27,6104142,,100.02
-76.59944444444444,44.223333333333336,18,2017,21.9,,,2017-09-27 08:00:00,,22.9,94,8,0,,,9,,,,NA,6104142.2017.9.27.8,,ND,2017-09-27T13:00:00,KINGSTON CLIMATE,32,9,2017,,27,15,ON,,27,6104142,,100.0
-76.59944444444444,44.223333333333336,18,2017,21.5,,,2017-09-27 09:00:00,,23.6,88,9,0,,,9,,,,NA,6104142.2017.9.27.9,,ND,2017-09-27T14:00:00,KINGSTON CLIMATE,32,9,2017,,27,18,ON,,27,6104142,,99.96
-76.59944444444444,44.223333333333336,18,2017,20.9,,,2017-09-27 10:00:00,,24.1,82,10,0,,,9,,,,NA,6104142.2017.9.27.10,,ND,2017-09-27T15:00:00,KINGSTON CLIMATE,32,9,2017,,27,19,ON,,27,6104142,,99.94
-76.59944444444444,44.223333333333336,18,2017,21.2,,,2017-09-27 11:00:00,,24.1,84,11,0,,,9,,,,NA,6104142.2017.9.27.11,,ND,2017-09-27T16:00:00,KINGSTON CLIMATE,33,9,2017,,27,20,ON,,27,6104142,,99.86
-76.59944444444444,44.223333333333336,18,2017,21.9,,,2017-09-27 12:00:00,,25.5,81,12,0,,,9,,,,NA,6104142.2017.9.27.12,,ND,2017-09-27T17:00:00,KINGSTON CLIMATE,35,9,2017,,27,19,ON,,27,6104142,,99.81
-76.59944444444444,44.223333333333336,18,2017,21.6,,,2017-09-27 13:00:00,,25.7,78,13,0,,,9,,,,NA,6104142.2017.9.27.13,,ND,2017-09-27T18:00:00,KINGSTON CLIMATE,35,9,2017,,27,22,ON,,27,6104142,,99.74
-76.59944444444444,44.223333333333336,18,2017,21.0,,,2017-09-27 14:00:00,,25.5,76,14,0,,,9,,,,NA,6104142.2017.9.27.14,,ND,2017-09-27T19:00:00,KINGSTON CLIMATE,34,9,2017,,27,24,ON,,27,6104142,,99.66
-76.59944444444444,44.223333333333336,23,2017,19.9,,,2017-09-27 15:00:00,,28.4,60,15,0,,,9,,,,NA,6104142.2017.9.27.15,,ND,2017-09-27T20:00:00,KINGSTON CLIMATE,36,9,2017,,27,15,ON,,27,6104142,,99.64
-76.59944444444444,44.223333333333336,25,2017,19.9,,,2017-09-27 16:00:00,,27.4,64,16,0,,,9,,,,NA,6104142.2017.9.27.16,,ND,2017-09-27T21:00:00,KINGSTON CLIMATE,35,9,2017,,27,13,ON,,27,6104142,,99.62
-76.59944444444444,44.223333333333336,28,2017,18.1,,,2017-09-27 17:00:00,,25.0,66,17,0,,,9,,,,NA,6104142.2017.9.27.17,,ND,2017-09-27T22:00:00,KINGSTON CLIMATE,31,9,2017,,27,24,ON,,27,6104142,,99.67
